MarkerID Clock Adjusted Fk N_Shared N_Others PostMean PostMode PostMedian PostCI025 PostCI975 Robust Lower Upper
33 C 0 3 3 100 0.04087487 0.04325415 0.03799362 0.01044990 0.08372660 0.17263093 0.04516480 0.65983764
33 M 1 3 3 100 0.05194098 0.05606114 0.04924304 0.01375600 0.10417473 0.23251991 0.08452775 0.63961846
33 R 1 3 3 100 0.02671612 0.02747376 0.02361646 0.00565333 0.06166350 0.23330014 0.08452775 0.64391820
33 C 1 3 3 100 0.04087487 0.04325415 0.03799362 0.01044990 0.08372660 0.17263093 0.04516480 0.65983764
32 M 0 4 6 100 0.08086638 0.08272049 0.07752729 0.03446745 0.13867786 0.27117072 0.08452775 0.86993399
32 R 0 4 6 100 0.05472114 0.05606114 0.05141824 0.02125696 0.09991727 0.27163998 0.08452775 0.87294743
32 C 0 4 6 100 0.06069027 0.06245868 0.05853751 0.02527360 0.10535439 0.21365509 0.04516480 1.01070956
32 M 1 4 6 100 0.08086638 0.08272049 0.07752729 0.03446745 0.13867786 0.27117072 0.08452775 0.86993399
32 R 1 4 6 100 0.05472114 0.05606114 0.05141824 0.02125696 0.09991727 0.27163998 0.08452775 0.87294743
32 C 1 4 6 100 0.06069027 0.06245868 0.05853751 0.02527360 0.10535439 0.21365509 0.04516480 1.01070956
7 M 0 5 10 100 0.09700819 0.09833373 0.09417382 0.05189166 0.14980985 0.25699114 0.10223454 0.64600909
7 R 0 5 10 100 0.11858718 0.11944779 0.11689393 0.07063439 0.17285082 0.31631465 0.14077097 0.71076419
7 C 0 5 10 100 0.11525402 0.11689393 0.11194884 0.06965469 0.16488209 0.23497001 0.07719290 0.71523297
7 M 1 5 10 100 0.09700819 0.09833373 0.09417382 0.05189166 0.14980985 0.25699114 0.10223454 0.64600909
7 R 1 5 10 100 0.11858718 0.11944779 0.11689393 0.07063439 0.17285082 0.31631465 0.14077097 0.71076419
7 C 1 5 10 100 0.11525402 0.11689393 0.11194884 0.06965469 0.16488209 0.23497001 0.07719290 0.71523297
15 M 0 5 10 100 0.10634945 0.10721295 0.10267741 0.05561258 0.16715026 0.26860425 0.08452775 0.85354508
15 R 0 5 10 100 0.10341372 0.10492067 0.09833373 0.05007682 0.17129831 0.30267149 0.08452775 1.08378648
15 C 0 5 10 100 0.08342966 0.08452775 0.08095188 0.04150965 0.13642411 0.22541924 0.04516480 1.12507589
15 M 1 5 10 100 0.10634945 0.10721295 0.10267741 0.05561258 0.16715026 0.26860425 0.08452775 0.85354508
15 R 1 5 10 100 0.10341372 0.10492067 0.09833373 0.05007682 0.17129831 0.30267149 0.08452775 1.08378648
15 C 1 5 10 100 0.08342966 0.08452775 0.08095188 0.04150965 0.13642411 0.22541924 0.04516480 1.12507589
14 M 0 7 21 100 0.19498231 0.19636326 0.19216489 0.12542069 0.27269240 0.33667402 0.12193190 0.92961231
14 R 0 7 21 100 0.36118254 0.35964432 0.35195491 0.26093640 0.46557463 0.53534623 0.22240395 1.28862637
14 C 0 7 21 100 0.29995898 0.30254069 0.29607218 0.21120883 0.39360718 0.40808331 0.12510981 1.33108651
14 M 1 7 21 100 0.19498231 0.19636326 0.19216489 0.12542069 0.27269240 0.33667402 0.12193190 0.92961231
14 R 1 7 21 93 0.41238739 0.41838534 0.40944001 0.29743481 0.53211129 0.55687726 0.22240395 1.39436499
14 C 1 7 21 94 0.35081056 0.35195491 0.34442991 0.24463115 0.46288514 0.42490124 0.12510981 1.44306078
34 M 0 7 21 100 0.20165340 0.20065335 0.19636326 0.13415287 0.27634960 0.36259149 0.13050188 1.00743828
34 R 0 7 21 100 0.28848231 0.28974198 0.28354713 0.19927723 0.38507583 0.47543753 0.16810055 1.34467641
34 C 0 7 21 100 0.23331535 0.23342623 0.22843544 0.16238324 0.31025684 0.39814966 0.10944262 1.44845910
34 M 1 7 21 100 0.20165340 0.20065335 0.19636326 0.13415287 0.27634960 0.36259149 0.13050188 1.00743828
34 R 1 7 19 100 0.26312534 0.26574599 0.26006418 0.17682106 0.35797922 0.44296640 0.14592301 1.34467641
34 C 1 7 19 100 0.21514167 0.21409422 0.20951676 0.14613186 0.29096514 0.37228563 0.09568554 1.44845910
35 M 0 9 35 100 0.20140668 0.20065335 0.19636326 0.13898640 0.27094880 0.32273678 0.08452775 1.23224659
35 R 0 9 35 100 0.16563193 0.16518507 0.16165332 0.11279925 0.22510126 0.29639230 0.08452775 1.03928472
35 C 0 9 35 100 0.12101481 0.11944779 0.11944779 0.08180696 0.16614602 0.25843930 0.04516480 1.47882563
35 M 1 9 35 100 0.20140668 0.20065335 0.19636326 0.13898640 0.27094880 0.32273678 0.08452775 1.23224659
35 R 1 9 35 100 0.16563193 0.16518507 0.16165332 0.11279925 0.22510126 0.29639230 0.08452775 1.03928472
35 C 1 9 35 100 0.12101481 0.11944779 0.11944779 0.08180696 0.16614602 0.25843930 0.04516480 1.47882563
5 M 0 10 45 100 0.22164010 0.22355135 0.21877169 0.16388655 0.28209240 0.31087766 0.13585575 0.71137891
5 R 0 10 45 100 0.29822724 0.29607218 0.29607218 0.23525791 0.36117308 0.40915497 0.23019759 0.72723519
5 C 0 10 45 100 0.24143394 0.24373731 0.23852606 0.19074283 0.29179005 0.31669088 0.13136429 0.76347318
5 M 1 10 45 100 0.22164010 0.22355135 0.21877169 0.16388655 0.28209240 0.31087766 0.13585575 0.71137891
5 R 1 10 45 82 0.39346198 0.39211903 0.38373529 0.30722363 0.48116976 0.45049809 0.23019759 0.88162750
5 C 1 10 45 100 0.24143394 0.24373731 0.23852606 0.19074283 0.29179005 0.31669088 0.13136429 0.76347318
23 M 0 10 44 100 0.16377160 0.16518507 0.16165332 0.11983708 0.21038020 0.25484912 0.08834832 0.73513648
23 R 0 10 44 100 0.15585952 0.15481473 0.15150470 0.11466380 0.19984705 0.27369718 0.10450919 0.71678044
23 C 0 10 44 100 0.11134338 0.11194884 0.10955531 0.08290421 0.14148011 0.21279627 0.05633718 0.80377203
23 M 1 10 44 100 0.16377160 0.16518507 0.16165332 0.11983708 0.21038020 0.25484912 0.08834832 0.73513648
23 R 1 10 35 100 0.11460904 0.11439467 0.11194884 0.07851122 0.15472987 0.24614596 0.08452775 0.71678044
23 C 1 10 35 100 0.08684200 0.08637448 0.08452775 0.06079132 0.11540143 0.19053138 0.04516480 0.80377203
30 M 0 12 66 100 0.23525760 0.23342623 0.23342623 0.18095859 0.29117849 0.27733665 0.10619963 0.72425502
30 R 0 12 66 100 0.37420262 0.37553080 0.36750173 0.30927620 0.43687075 0.42592891 0.23023780 0.78794809
30 C 0 12 66 100 0.26335968 0.26574599 0.26006418 0.21616955 0.30916331 0.31978592 0.12607924 0.81110127
30 M 1 12 66 100 0.23525760 0.23342623 0.23342623 0.18095859 0.29117849 0.27733665 0.10619963 0.72425502
30 R 1 12 66 86 0.50180899 0.49735430 0.49735430 0.40997831 0.59255406 0.47710924 0.23023780 0.98868745
30 C 1 12 66 88 0.36004603 0.35964432 0.35195491 0.28944920 0.43181327 0.35481898 0.12607924 0.99855069
24 M 0 15 98 100 0.27138714 0.27155193 0.26574599 0.21526909 0.32848682 0.28005204 0.09542822 0.82186531
24 R 0 15 98 100 0.37587241 0.37553080 0.36750173 0.30943857 0.44177700 0.40433426 0.15130436 1.08051217
24 C 0 15 98 100 0.24583966 0.24373731 0.24373731 0.20079815 0.29112836 0.30326481 0.08283002 1.11034067
24 M 1 15 98 100 0.27138714 0.27155193 0.26574599 0.21526909 0.32848682 0.28005204 0.09542822 0.82186531
24 R 1 15 98 97 0.40723828 0.40944001 0.40068594 0.33378936 0.48024030 0.42058462 0.15130436 1.16910992
24 C 1 15 98 97 0.26837349 0.26574599 0.26574599 0.21751619 0.32017325 0.31432286 0.08283002 1.19279050
16 M 0 19 100 100 0.49586698 0.49735430 0.48672057 0.38501421 0.61397199 0.42549815 0.12354369 1.46546271
16 R 0 19 100 100 0.87740614 0.87238161 0.87238161 0.71520267 1.04292889 0.77043496 0.26863328 2.20959233
16 C 0 19 100 100 0.77215733 0.76628343 0.74989983 0.57368721 1.00082584 0.65684967 0.15731062 2.74267237
16 M 1 19 100 100 0.49586698 0.49735430 0.48672057 0.38501421 0.61397199 0.42549815 0.12354369 1.46546271
16 R 1 19 100 100 0.87740614 0.87238161 0.87238161 0.71520267 1.04292889 0.77043496 0.26863328 2.20959233
16 C 1 19 100 100 0.77215733 0.76628343 0.74989983 0.57368721 1.00082584 0.65684967 0.15731062 2.74267237
17 M 0 19 100 100 0.50352553 0.49735430 0.49735430 0.38995813 0.62535778 0.43781177 0.12258619 1.56362752
17 R 0 19 100 100 0.89026685 0.89144116 0.87238161 0.71790195 1.07043309 0.78650191 0.25676906 2.40911130
17 C 0 19 100 100 0.79655980 0.78302497 0.78302497 0.57253958 1.06565399 0.68268493 0.15252316 3.05565854
17 M 1 19 100 100 0.50352553 0.49735430 0.49735430 0.38995813 0.62535778 0.43781177 0.12258619 1.56362752
17 R 1 19 100 100 0.89026685 0.89144116 0.87238161 0.71790195 1.07043309 0.78650191 0.25676906 2.40911130
17 C 1 19 100 100 0.79655980 0.78302497 0.78302497 0.57253958 1.06565399 0.68268493 0.15252316 3.05565854
27 M 0 19 99 100 0.49014776 0.48672057 0.48672057 0.37911346 0.60899975 0.42417931 0.12015394 1.49747972
27 R 0 19 99 100 0.81324076 0.81761334 0.80013228 0.66433620 0.96442212 0.71224290 0.25578495 1.98326735
27 C 0 19 99 100 0.72205081 0.71817602 0.70282099 0.53678821 0.93459654 0.61418559 0.14995813 2.51552837
27 M 1 19 99 100 0.49014776 0.48672057 0.48672057 0.37911346 0.60899975 0.42417931 0.12015394 1.49747972
27 R 1 19 99 100 0.81324076 0.81761334 0.80013228 0.66433620 0.96442212 0.71224290 0.25578495 1.98326735
27 C 1 19 99 100 0.72205081 0.71817602 0.70282099 0.53678821 0.93459654 0.61418559 0.14995813 2.51552837
28 M 0 19 100 100 0.44795407 0.44641110 0.43686657 0.35050762 0.55046475 0.39565184 0.11978387 1.30685688
28 R 0 19 100 100 0.70000299 0.70282099 0.68779426 0.58340454 0.81394922 0.62425429 0.25827178 1.50885016
28 C 0 19 100 100 0.56886996 0.56621705 0.55411099 0.45158550 0.69360296 0.52123538 0.15016813 1.80921428
28 M 1 19 100 100 0.44795407 0.44641110 0.43686657 0.35050762 0.55046475 0.39565184 0.11978387 1.30685688
28 R 1 19 100 95 0.74478848 0.74989983 0.73386653 0.61812807 0.86997188 0.64238919 0.25827178 1.59778921
28 C 1 19 100 100 0.56886996 0.56621705 0.55411099 0.45158550 0.69360296 0.52123538 0.15016813 1.80921428
11 M 0 21 99 100 0.51307584 0.50822036 0.50822036 0.39758241 0.63547984 0.44354542 0.13424602 1.46546271
11 R 0 21 99 100 0.93796748 0.93081857 0.93081857 0.77032295 1.10470897 0.79690731 0.30666344 2.07087373
11 C 0 21 99 100 0.89018241 0.89144116 0.87238161 0.67673130 1.11679869 0.67906628 0.17939442 2.57048692
11 M 1 21 99 100 0.51307584 0.50822036 0.50822036 0.39758241 0.63547984 0.44354542 0.13424602 1.46546271
11 R 1 21 99 100 0.93796748 0.93081857 0.93081857 0.77032295 1.10470897 0.79690731 0.30666344 2.07087373
11 C 1 21 99 100 0.89018241 0.89144116 0.87238161 0.67673130 1.11679869 0.67906628 0.17939442 2.57048692
12 M 0 21 99 100 0.51990118 0.51932381 0.50822036 0.40466905 0.64153734 0.44699622 0.13634302 1.46546271
12 R 0 21 99 100 0.87056909 0.87238161 0.85372957 0.71666433 1.02485766 0.75962114 0.29094629 1.98326735
12 C 0 21 99 100 0.79940040 0.80013228 0.78302497 0.60845371 1.00765797 0.65382670 0.17365299 2.46174487
12 M 1 21 99 100 0.51990118 0.51932381 0.50822036 0.40466905 0.64153734 0.44699622 0.13634302 1.46546271
12 R 1 21 99 100 0.87056909 0.87238161 0.85372957 0.71666433 1.02485766 0.75962114 0.29094629 1.98326735
12 C 1 21 99 100 0.79940040 0.80013228 0.78302497 0.60845371 1.00765797 0.65382670 0.17365299 2.46174487
22 M 0 30 99 100 0.28198204 0.28354713 0.27748472 0.22514947 0.33919406 0.30166617 0.11246324 0.80917527
22 R 0 30 99 100 0.36336337 0.35964432 0.35964432 0.30198041 0.42292779 0.36931131 0.16681583 0.81761334
22 C 0 30 99 100 0.25915819 0.26006418 0.25450385 0.21449063 0.30234247 0.28919221 0.09300922 0.89918106
22 M 1 30 98 100 0.27965178 0.27748472 0.27748472 0.22321788 0.33647575 0.29981613 0.11108806 0.80917527
22 R 1 30 98 100 0.35699519 0.35964432 0.35195491 0.29626049 0.41599112 0.36572301 0.16358994 0.81761334
22 C 1 30 98 100 0.25437285 0.25450385 0.24906241 0.21012678 0.29739524 0.28597117 0.09094888 0.89918106
29 M 0 30 99 100 0.43321715 0.42752610 0.42752610 0.33738051 0.53346809 0.37758594 0.12339706 1.15538524
29 R 0 30 99 100 0.67941658 0.67308881 0.67308881 0.55970066 0.79516359 0.51256582 0.19546510 1.34409530
29 C 0 30 99 100 0.60031638 0.60414541 0.59122842 0.47759665 0.72322733 0.40367108 0.10881639 1.49747972
29 M 1 30 99 100 0.43321715 0.42752610 0.42752610 0.33738051 0.53346809 0.37758594 0.12339706 1.15538524
29 R 1 30 99 100 0.67941658 0.67308881 0.67308881 0.55970066 0.79516359 0.51256582 0.19546510 1.34409530
29 C 1 30 99 100 0.60031638 0.60414541 0.59122842 0.47759665 0.72322733 0.40367108 0.10881639 1.49747972
1 M 0 79 98 100 0.94834060 0.95115482 0.93081857 0.77549844 1.11469808 0.86947750 0.44710078 1.69087409
1 R 0 79 98 100 0.86469730 0.87238161 0.85372957 0.74157705 0.97725999 0.84660492 0.78683327 0.91091711
1 C 0 79 98 100 1.04715271 1.03704100 1.03704100 0.90436871 1.17542421 0.98441475 0.63810810 1.51866494
1 M 1 79 98 100 0.94834060 0.95115482 0.93081857 0.77549844 1.11469808 0.86947750 0.44710078 1.69087409
1 R 1 79 98 100 0.86469730 0.87238161 0.85372957 0.74157705 0.97725999 0.84660492 0.78683327 0.91091711
1 C 1 79 98 100 1.04715271 1.03704100 1.03704100 0.90436871 1.17542421 0.98441475 0.63810810 1.51866494
10 M 0 79 100 100 0.61591140 0.61734460 0.60414541 0.48255383 0.75371574 0.53308383 0.18571368 1.53019623
10 R 0 79 100 100 1.19095617 1.18062777 1.18062777 1.00130164 1.37120010 1.00798276 0.46987272 2.16234992
10 C 0 79 100 100 1.17644692 1.18062777 1.15538524 0.94792908 1.40229522 0.89327333 0.28471387 2.80259350
10 M 1 79 100 100 0.61591140 0.61734460 0.60414541 0.48255383 0.75371574 0.53308383 0.18571368 1.53019623
10 R 1 79 100 100 1.19095617 1.18062777 1.18062777 1.00130164 1.37120010 1.00798276 0.46987272 2.16234992
10 C 1 79 100 100 1.17644692 1.18062777 1.15538524 0.94792908 1.40229522 0.89327333 0.28471387 2.80259350
13 M 0 79 100 100 0.55646133 0.55411099 0.55411099 0.44237647 0.67148589 0.53089928 0.21962442 1.28334564
13 R 0 79 100 100 1.05561167 1.05969797 1.03704100 0.89925040 1.20110128 0.95064104 0.53759611 1.68103595
13 C 0 79 100 100 0.93468704 0.93081857 0.93081857 0.78067590 1.08071524 0.83340238 0.34592192 2.00785055
13 M 1 79 100 96 0.62587696 0.63083217 0.61734460 0.49453662 0.76005432 0.54712467 0.21962442 1.36298780
13 R 1 79 100 95 1.20343258 1.20642179 1.18062777 1.02118992 1.37282013 0.98888624 0.53759611 1.81901614
13 C 1 79 100 95 1.22454035 1.23277935 1.20642179 1.01966451 1.41749349 0.87426908 0.34592192 2.20959233
20 M 0 81 100 100 0.80738455 0.80013228 0.80013228 0.64853952 0.96555708 0.73601085 0.33903844 1.59778921
20 R 0 81 100 100 1.79016211 1.78012448 1.78012448 1.56191623 1.99761797 1.66045412 1.11998117 2.46174487
20 C 0 81 100 100 1.77723080 1.78012448 1.74206436 1.52275273 2.01453413 1.58952295 0.79187462 3.19063538
20 M 1 81 100 100 0.80738455 0.80013228 0.80013228 0.64853952 0.96555708 0.73601085 0.33903844 1.59778921
20 R 1 81 100 100 1.79016211 1.78012448 1.78012448 1.56191623 1.99761797 1.66045412 1.11998117 2.46174487
20 C 1 81 100 100 1.77723080 1.78012448 1.74206436 1.52275273 2.01453413 1.58952295 0.79187462 3.19063538
